epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.6099,1.14644,1.89076,1.23457,0.5775,0.70327,0.58395,0.33278,1.42068,1.73838,1.43415,0.000662474,0.000662474,0.000662474
2,69.6558,1.20676,1.23977,1.28247,0.82957,0.73888,0.80747,0.45976,1.52057,1.17406,1.49686,0.00130282,0.00130282,0.00130282
3,102.207,1.21179,1.04379,1.27331,0.66017,0.63503,0.64469,0.38333,1.54096,1.45854,1.57963,0.00191677,0.00191677,0.00191677
4,134.583,1.19441,0.94813,1.26856,0.86514,0.7795,0.83637,0.45143,1.5733,0.9897,1.53532,0.0018812,0.0018812,0.0018812
5,167.186,1.16506,0.87128,1.25934,0.88189,0.83762,0.8771,0.52211,1.38831,0.94293,1.43507,0.0018416,0.0018416,0.0018416
6,200.048,1.13396,0.80441,1.22461,0.87878,0.8588,0.89957,0.52995,1.39945,0.79803,1.35816,0.001802,0.001802,0.001802
7,233.05,1.09066,0.74483,1.20567,0.93662,0.8588,0.92233,0.5704,1.39964,0.77217,1.38476,0.0017624,0.0017624,0.0017624
8,266.012,1.12728,0.73819,1.21402,0.91391,0.82979,0.88993,0.55221,1.41239,0.77439,1.38004,0.0017228,0.0017228,0.0017228
9,298.786,1.08371,0.70924,1.19389,0.90803,0.87848,0.91883,0.56259,1.38541,0.72167,1.36038,0.0016832,0.0016832,0.0016832
10,331.562,1.05491,0.67455,1.18018,0.9231,0.8823,0.90758,0.58193,1.34477,0.67174,1.33426,0.0016436,0.0016436,0.0016436
11,364.653,1.05899,0.67241,1.18423,0.94123,0.88395,0.93813,0.58647,1.37009,0.65383,1.34828,0.001604,0.001604,0.001604
12,397.585,1.06381,0.66432,1.17769,0.93581,0.90135,0.94258,0.59846,1.38213,0.65257,1.33624,0.0015644,0.0015644,0.0015644
13,430.558,1.02994,0.61807,1.16043,0.92473,0.89749,0.93157,0.58871,1.34789,0.6407,1.33974,0.0015248,0.0015248,0.0015248
14,463.488,1.02077,0.60478,1.16105,0.92697,0.90834,0.94524,0.60194,1.34153,0.63372,1.31957,0.0014852,0.0014852,0.0014852
15,496.499,1.02311,0.61792,1.15904,0.91027,0.92223,0.93842,0.58112,1.33355,0.61837,1.33742,0.0014456,0.0014456,0.0014456
16,529.387,0.98452,0.59658,1.15242,0.9474,0.90585,0.94421,0.61389,1.31035,0.58897,1.30037,0.001406,0.001406,0.001406
17,562.204,0.97039,0.58422,1.13232,0.95,0.92843,0.95915,0.60617,1.31561,0.59313,1.30756,0.0013664,0.0013664,0.0013664
18,594.942,0.98756,0.58426,1.13189,0.95923,0.92843,0.96591,0.62341,1.31763,0.56969,1.32642,0.0013268,0.0013268,0.0013268
19,627.838,0.97356,0.56839,1.13383,0.96188,0.9323,0.96244,0.6095,1.30624,0.59746,1.27882,0.0012872,0.0012872,0.0012872
20,660.739,0.96382,0.55985,1.12769,0.95149,0.92263,0.9427,0.60409,1.26349,0.58171,1.27399,0.0012476,0.0012476,0.0012476
21,693.611,0.96703,0.56661,1.13009,0.92925,0.91458,0.94998,0.61605,1.29366,0.58822,1.2872,0.001208,0.001208,0.001208
22,726.312,0.97324,0.55203,1.12668,0.94628,0.93037,0.95782,0.61934,1.29559,0.55847,1.31219,0.0011684,0.0011684,0.0011684
23,758.935,0.94534,0.53668,1.12031,0.92499,0.90636,0.92942,0.57244,1.34753,0.61313,1.32617,0.0011288,0.0011288,0.0011288
24,791.577,0.94772,0.53278,1.121,0.95816,0.9323,0.96162,0.62881,1.28337,0.55206,1.26885,0.0010892,0.0010892,0.0010892
25,824.124,0.92863,0.52905,1.11559,0.94903,0.9265,0.95425,0.62586,1.2852,0.52784,1.28791,0.0010496,0.0010496,0.0010496
26,856.867,0.93213,0.52589,1.10403,0.94525,0.93504,0.96754,0.6492,1.25658,0.53416,1.24419,0.00101,0.00101,0.00101
27,889.408,0.90011,0.5118,1.09522,0.96863,0.94391,0.96022,0.63218,1.26115,0.52229,1.26728,0.0009704,0.0009704,0.0009704
28,921.838,0.89835,0.52235,1.09187,0.9581,0.92889,0.95146,0.63245,1.25095,0.54789,1.25766,0.0009308,0.0009308,0.0009308
29,954.281,0.87777,0.50375,1.09185,0.94765,0.94543,0.96409,0.63254,1.27171,0.52322,1.26782,0.0008912,0.0008912,0.0008912
30,986.584,0.91094,0.50883,1.09484,0.94765,0.94529,0.96007,0.62846,1.29057,0.53491,1.28535,0.0008516,0.0008516,0.0008516
31,1019.03,0.88285,0.49304,1.08649,0.95043,0.92717,0.95755,0.63525,1.28697,0.53566,1.25842,0.000812,0.000812,0.000812
32,1051.16,0.88752,0.49068,1.08824,0.9639,0.92949,0.95809,0.62593,1.29095,0.53586,1.28095,0.0007724,0.0007724,0.0007724
33,1083.4,0.86341,0.48054,1.0745,0.97335,0.93617,0.96464,0.64646,1.24623,0.51584,1.24235,0.0007328,0.0007328,0.0007328
34,1115.73,0.88814,0.48701,1.08202,0.96427,0.93957,0.96593,0.64199,1.25361,0.52009,1.26475,0.0006932,0.0006932,0.0006932
35,1148.37,0.85675,0.4683,1.07336,0.95583,0.93617,0.96144,0.64724,1.26159,0.50981,1.25576,0.0006536,0.0006536,0.0006536
36,1180.85,0.83038,0.46308,1.06365,0.95713,0.95007,0.96599,0.64433,1.24627,0.4903,1.24606,0.000614,0.000614,0.000614
37,1213.29,0.85191,0.45937,1.07083,0.96834,0.92456,0.96136,0.64573,1.23565,0.48526,1.25022,0.0005744,0.0005744,0.0005744
38,1245.53,0.8329,0.4572,1.05974,0.96399,0.93204,0.96128,0.65356,1.23886,0.49044,1.24709,0.0005348,0.0005348,0.0005348
39,1277.9,0.8271,0.44489,1.05507,0.96295,0.93424,0.95831,0.64849,1.23908,0.50159,1.24524,0.0004952,0.0004952,0.0004952
40,1310.32,0.84436,0.45443,1.06101,0.9539,0.95164,0.97033,0.65405,1.23526,0.48672,1.24463,0.0004556,0.0004556,0.0004556
41,1343.69,0.85166,0.40143,1.07209,0.95778,0.94778,0.96439,0.64597,1.25421,0.49614,1.26637,0.000416,0.000416,0.000416
42,1375.74,0.8365,0.39086,1.05756,0.96538,0.94197,0.96698,0.65695,1.24699,0.47897,1.25664,0.0003764,0.0003764,0.0003764
43,1407.54,0.82081,0.37333,1.04579,0.95276,0.94004,0.96432,0.65618,1.23978,0.48981,1.26261,0.0003368,0.0003368,0.0003368
44,1439.47,0.82125,0.37671,1.05101,0.96245,0.94195,0.97096,0.66401,1.23786,0.47573,1.2462,0.0002972,0.0002972,0.0002972
45,1471.42,0.80611,0.36758,1.03816,0.96225,0.95164,0.96853,0.65142,1.22686,0.46199,1.24132,0.0002576,0.0002576,0.0002576
46,1503.3,0.80129,0.36014,1.03928,0.97023,0.94545,0.96798,0.65501,1.23459,0.47254,1.23281,0.000218,0.000218,0.000218
47,1534.98,0.78962,0.36191,1.03446,0.96661,0.94197,0.96492,0.6613,1.22934,0.46992,1.24641,0.0001784,0.0001784,0.0001784
48,1566.63,0.78145,0.3514,1.02763,0.96442,0.94778,0.96737,0.65573,1.23808,0.46957,1.25428,0.0001388,0.0001388,0.0001388
49,1598.39,0.78191,0.35196,1.02565,0.97031,0.9381,0.96752,0.66087,1.22733,0.4601,1.2393,9.92e-05,9.92e-05,9.92e-05
50,1630.09,0.77737,0.34784,1.02245,0.97405,0.94377,0.97148,0.66383,1.21912,0.46154,1.23282,5.96e-05,5.96e-05,5.96e-05
